CountryCode,IndicatorCode,Year,value,IndicatorType,IndicatorSubType,Gender
ABW,SE.SEC.CUAT.LO.FE.ZS,2000,52.9307289123535,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2010,58.6979789733887,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2014,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2015,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2016,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2017,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2018,NA,Education,Lower Secondary,Female
ABW,SE.SEC.CUAT.LO.FE.ZS,2019,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2000,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2001,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2002,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2003,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2004,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2005,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2006,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2007,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2008,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2009,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2010,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2011,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2012,NA,Education,Lower Secondary,Female
AFG,SE.SEC.CUAT.LO.FE.ZS,2013,NA,Education,Lower Secondary,Female
